operator_type,batch_size,seq_len,hidden_dim1,hidden_dim2,latency_ms,memory_footprint_mb,flops,arithmetic_intensity
gemm,16,2,512,1024,0.012083200365304947,1.09375,33554432,29.257142857142856
gemm,16,2,512,2048,0.012083200365304947,2.15625,67108864,29.681159420289855
gemm,16,2,1024,128,0.014336000382900237,0.3203125,8388608,24.975609756097562
gemm,16,2,1024,256,0.012902399897575379,0.578125,16777216,27.675675675675677
gemm,16,2,1024,512,0.011878400295972823,1.09375,33554432,29.257142857142856
gemm,16,2,1024,1024,0.011059200018644333,2.125,67108864,30.11764705882353
gemm,16,2,1024,2048,0.011059200018644333,4.1875,134217728,30.567164179104477
gemm,16,2,2048,128,0.01372160017490387,0.6328125,16777216,25.28395061728395
gemm,16,2,2048,256,0.012902399897575379,1.140625,33554432,28.054794520547944
gemm,16,2,2048,512,0.012902399897575379,2.15625,67108864,29.681159420289855
gemm,16,2,2048,1024,0.013107199966907502,4.1875,134217728,30.567164179104477
gemm,16,2,2048,2048,0.012083200365304947,8.25,268435456,31.03030303030303
gemm,16,4,128,128,0.011059200018644333,0.0625,2097152,32.0
gemm,16,4,128,256,0.013312000036239623,0.109375,4194304,36.57142857142857
gemm,16,4,128,512,0.011878400295972823,0.203125,8388608,39.38461538461539
gemm,16,4,128,1024,0.01085439994931221,0.390625,16777216,40.96
gemm,16,4,128,2048,0.011878400295972823,0.765625,33554432,41.795918367346935
gemm,16,4,256,128,0.01085439994931221,0.109375,4194304,36.57142857142857
gemm,16,4,256,256,0.011878400295972823,0.1875,8388608,42.666666666666664
gemm,16,4,256,512,0.015564799308776855,0.34375,16777216,46.54545454545455
gemm,16,4,256,1024,0.011264000087976456,0.65625,33554432,48.76190476190476
gemm,16,4,256,2048,0.01372160017490387,1.28125,67108864,49.951219512195124
gemm,16,4,512,128,0.01085439994931221,0.203125,8388608,39.38461538461539
gemm,16,4,512,256,0.012083200365304947,0.34375,16777216,46.54545454545455
gemm,16,4,512,512,0.012691199779510498,0.625,33554432,51.2
gemm,16,4,512,1024,0.011059200018644333,1.1875,67108864,53.89473684210526
